File_Path,Kirundi_Transcription,French_Translation,English_Translation,Domain,Machine_Suggestion,Source,Duration,Speaker_id,Age,Gender,word_count,char_count
,"Ica yisubirira guhunyiza, ariko ku rwenge ; mbere irigonesha.",,,general,"Ica revient à la beauté, mais à la limite ; d'abord, il favorise.",,,,,,9,61
,Icegera ca kabiri c’Umukuru w’igihugu ajejwe gutunganya ibisata vy’ubushikiranganji vyerekeye ubutunzi n’imibano.,,,general,La deuxième réunion du chef de l'Etat est chargée de préparer les tableaux du ministère des Finances et des Relations.,,,,,,12,113
,Icegera ca mbere c’Umukuru w’igihugu ajejwe gutunganya ibisata vy’ubushikiranganji vyerekeye politike n’intwaro y’igihugu.,,,general,La première réunion du chef de l'Etat est chargée d'organiser les tables ministérielles concernant la politique et l'armement du pays.,,,,,,13,122
,"Icegera ca mbere c’Umukuru w’igihugu arashobora kurongora Inama nshikiranganji abitumwe n’Umukuru w’igihugu, urutonde rw’ivyihwezwa rwashinzwe.",,,general,"La première réunion du Chef de l'Etat peut conduire le Conseil des Ministres convoqué par le Chef de l'Etat, la liste des nominations a été établie.",,,,,,15,143
,Ico Imana ikuyeko amaboko ntigisongorerwa.,,,proverbs,"Quand Dieu retirait ses mains, il ne tremblait pas.",,,,,,5,42
,"Ico benshi batazi, ni uko ubu hariho itegeko rigenga inyandiko y’Ikirundi",,,general,"Ce que beaucoup ne savent pas, c'est qu'il existe désormais une loi qui réglemente l'écriture de l'ourdou.",,,,,,11,73
,"Ico cahaye inguvu izo ndimi mvamakungu, kiburizamwo rya nagurwa, bituma izo ndimi zivogera Ikirundi ku rugero runini cane nk’uko turiko turabibona mw’iki gihe ca none",,,general,"Ce qui lui a donné de la force, la musique dans toutes les langues que j'achèterais, fait que les langues jusqu'au Kirundi soient dans une large mesure comme nous le voyons aujourd'hui.",,,,,,25,166
,Ico cigwa casaba ko hoshigwaho itegeko ritunganya indimi mu Burundi,,,general,Cette étude réclame une loi réglementant les langues au Burundi,,,,,,10,67
,Ico gihe abemerewe kwitoza ni babiri bambere barushije abandi amajwi.,,,general,"A cette époque, les deux premiers ayant reçu le plus de voix étaient autorisés à s'entraîner.",,,,,,10,69
,Ico gisagara cahora gifise ama komine 13 ( icumi n'atatu) Ubu naho kikaba gifise ama komine 3(atatu) gusa inyuma y'ingaburo nshasha y'ico gisagara,,,general,"La ville a toujours compté 13 (dix et trois) communes, mais elle ne compte désormais plus que 3 (trois) communes derrière le nouveau chef-lieu de la ville.",,,,,,23,146
,Ico gitabu ceranda kikaba kidufasha kuzirikana kuvy'ijambo ry'Imana,,,general,Ce livre saint nous aide à méditer la parole de Dieu,,,,,,8,67
,Ico giterwa camira mu kuzimu gusa,,,general,Cette plante ne fait que sombrer en enfer,,,,,,6,33
,"Ico ifashe cose ntigisamba. Ntawukigira ngo aratabara barahevye. Ntako bigoye, data ntiyoheba Gifokozi, ntiwovuga ngo bayice udashaka ko mwankana.",,,general,"Quoi qu’il en soit, cela n’a pas d’importance. Il n’y a personne pour les aider et ils sont abandonnés. Ce n'est pas difficile, mon père n'abandonne pas Gifokozi, tu ne veux pas qu'ils te tuent parce que tu ne veux pas me détester.",,,,,,19,146
,Ico imbwa yanse ushira aho iraba.,,,proverbs,Le chien a refusé et l'a mis là où il l'a vu.,,,,,,6,33
,"Ico kirundi ni co catumye mba umumenyeshamakuru, kandi uwo mwuga ndawumazemwo imyaka icumi",,,general,C'était pourquoi j'étais un journal,,,,,,13,90
,"Ico mwumva abakuru n’abato batakambira, si iciyumviro gishasha na gato",,,general,"Ce qu'on entend les grands et les jeunes, ce n'est pas du tout une idée nouvelle",,,,,,10,70
,Ico ni ikibazo nabajijwe incuro nyinshi cane n’abantu banebaguye igisata nariko ndiga.,,,general,C'est une question que j'ai posée trop de fois par les victimes du ministère que j'apprenais.,,,,,,12,86
,"Ico nico gituma abakenyezi n’abigeme, ako gace k’indamukanyo katabaraba, batakaramutswa, ndetse n’uwihenze akakavuga, batakishura",,,general,"C'est pour cela que les femmes et les filles, cette partie du mariage n'est pas sauvée, elles ne sont pas élevées, et même la plus chère dit qu'elles ne paient pas.",,,,,,14,129
,Ico uhawe n'ugutora ucakwa n'ugutakaza.,,,proverbs,"Ce que vous obtenez en votant, vous le perdez en perdant.",,,,,,5,39
,Ico umuntu atarabona acerekwa no kumara kabiri .,,,proverbs,"Ce qu'une personne n'a pas vu, on le voit en restant deux fois.",,,,,,8,48
,Ico uri burye ntimwiruka.,,,proverbs,"Ce que vous faites, vous ne courez pas.",,,,,,4,25
,Ico utarabona ugisanga imbere.,,,proverbs,"Ce que vous n'avez pas encore vu, vous le trouverez à l'intérieur.",,,,,,4,30
,Ico utari buhe umwana ntukimwereka.,,,proverbs,Ne montrez pas à votre enfant ce que vous n'êtes pas.,,,,,,5,35
,Ico utariye uba wibikiye.,,,proverbs,"Ce que vous ne mangez pas, vous l'économisez.",,,,,,4,25
,Ico utazi kikunywera inka.,,,proverbs,"Ce que vous ne savez pas, c'est boire une vache.",,,,,,4,26
,Ico utazi ucerekwa n'ukuraba.,,,proverbs,"Ce que vous ne savez pas, c'est regarder.",,,,,,4,29
,Icurire Risumba indagu.,,,proverbs,Route perdue.,,,,,,3,23
,Ido n’ido ni muri runo rukurikira rw’ibisomwa: Urwego Nshingwa Kirundi,,,general,Ido nido est dans la liste de lectures suivante : Urwego Nshingwa Kirundi,,,,,,10,70
,Ido n’ido ry’ubuzima bw’urwo rwego n’icatumye ruzimangana,,,general,Chaque instant de la vie à ce niveau est la cause de son extinction,,,,,,7,57
,Igabo rigira uwuryubakiye.,,,proverbs,Un homme est un bâtisseur.,,,,,,3,26
,Igenwa ry’abakozi bakuru bakuru mu nzego z’igihugu no mu ntwaramiheto ntirishobora gukurikizwa ritemejwe n’Inama nkenguzamateka.,,,general,La nomination de hauts fonctionnaires des administrations nationales et militaires ne peut être mise en œuvre sans l'approbation du Conseil historique.,,,,,,15,128
,Igenzabuhoro ricisha inka ku kiraro.,,,proverbs,Les manifestants tuent les vaches sur le pont.,,,,,,5,36
,Igeze kure igerwa ihembe n'impene.,,,proverbs,Cela va jusqu'à la corne et la corne.,,,,,,5,34
,Igicure c'umugabo gihakuza bunini.,,,proverbs,Le pénis d'un homme grossit.,,,,,,4,34
,"Igihe Icegera ca 1 c’Umukuru w’igihugu afatiriwe, Umukuru w’igihugu aha ubwo butumwa Icegera ca kabiri c’Umukuru w’igihugu.",,,general,"Lorsque le 1er Ambassadeur du Chef de l'Etat est arrêté, le Chef de l'Etat remet le message au 2ème Ambassadeur du Chef de l'Etat.",,,,,,17,123
,"Igihe atanguye kurangura amabanga y’igihugu, Umukuru w’igihugu ararahira icese.",,,general,"Lorsqu'il commence à exercer les fonctions du pays, le chef du pays prête serment.",,,,,,9,79
,"Igihe atariho ari canke hagize ikimufatira cane, Umukuru w’igihugu asubirirwa n’Icegera ca mbere c’Umukuru w’igihugu.",,,general,"Lorsqu'il n'est pas là ou lorsqu'il y a quelque chose de très important pour lui, le chef de l'Etat est remplacé par la première Chambre du chef de l'Etat.",,,,,,15,117
,"Igihe batangura kurangura amabanga yabo, abagize urwego nshikiranganji bararahira icese imbere y’Umukuru w’igihu.",,,general,"Lorsqu'ils commencent à exercer leurs fonctions, les membres du ministère prêtent serment de paix devant le Seigneur des Nuages.",,,,,,13,113
,"Igihe cose igihugu cobishiramwo inguvu n’ugushaka, ururimi rw'Ikirundi rwonagurwa bikwiye.",,,general,"Chaque fois que le pays déploiera des efforts et des efforts, la langue kurde sera correctement développée.",,,,,,10,90
,Igihe hari umushingamateka canke umukenguzamateka atagishoboye kurangura amabanga ajejwe arasubirirwa.,,,general,"Lorsqu'un législateur ou un critique n'est plus en mesure d'exercer ses fonctions, il est remplacé.",,,,,,10,102
,Igihe uwitoza mu mabanga y’Umukuru w’igihugu yatowe yari asanzwe ari umukozi wa Leta aca aba arabangiriye kurangura iyo mirimo kuva aho ivyavuye mu matora bitangarijwe.,,,general,"Lorsque le candidat au poste de Président a été élu, il était déjà fonctionnaire et a commencé à exercer ces fonctions dès l'annonce des résultats des élections.",,,,,,25,168
,Igihere giheza umugabo mu nzu.,,,proverbs,C'était autrefois un homme dans la maison.,,,,,,5,30
,"Igihugu ca uburundi kiragutse, gifise imisozi myinshi na Inzuzi nyinshi",,,general,"Le pays de Burido est vaste, avec de nombreuses montagnes et de nombreuses rivières",,,,,,10,71
,Igikere gikerebukira mu rushanga.,,,proverbs,Une tortue rampe dans le marais.,,,,,,4,33
,"Igikorwa c’insamirizi n’ibinyamakuru muri rusangi ni ukumenyesha, ukwigisha, n’ugufasha abantu kwidagadura",,,general,"La fonction des journaux et des magazines en général est d’informer, d’éduquer et de divertir les gens.",,,,,,11,106
,Igisagara c'imisore ntigikora umwotsi.,,,proverbs,Beaucoup de gars ne fument pas.,,,,,,4,38
,Igisagara ca Gitega ni co kibanza nyamukuru ca administration ya politique mu gihugu,,,general,Le Palais de Gitega est le principal siège de l'administration politique du pays,,,,,,13,84
,Igisata gishinzwe ubugenduzi bw’ikigo mu gihugu rushinzwe gukurikirana iyubahirizwa ry’ibisabwa n’iki gitabo mu buryo bwihariye ku buzi.,,,general,Le service national des transports de l'agence est chargé de contrôler le respect des exigences de ce manuel spécifiquement à l'aéroport.,,,,,,17,136
,"Igisata kijejwe kugenzura uko ibimenyeshamakuru bikora, cari gikwiye gushira mu vyo kigenzura ikoreshwa ry’ururimi rwacu, rwo shusho y’Uburundi, iragi twarazwe n’abatwibarutse",,,general,"L'agence chargée de contrôler le fonctionnement des médias aurait dû inclure dans les contrôles l'usage de notre langue, de l'image du Burundi, la langue que nous avons héritée de ceux qui nous ont donné naissance.",,,,,,21,175
,Igisuma kiriba kikazohava ciba ivya Rugata.,,,proverbs,Ce qui va se passer ensuite sera celui de Rugata.,,,,,,6,43
,"Igitangaje ni uko winjiye mu biro bitandukanye, n’aho igifaransa ari co gikoreshwa cane, ururimi usanga ruriko ruravugwa ari Ikirundi",,,general,"Fait intéressant, vous êtes entré dans un autre bureau, et le français est le plus couramment utilisé, une langue est mentionnée comme étant le kirundi.",,,,,,19,133
,"Igitangaje, uko nahura n’umuntu yize ibindi bibaza ngo birimwo ubuzima kurusha, yarambaza ngo mbe harya wize iki?",,,general,"Étonnamment, alors que j'ai rencontré quelqu'un qui a étudié plus que la vie, m'a-t-il demandé d'avoir appris cela si vous aviez appris ?",,,,,,17,113
,Igitenene giterwa na Ihorere mama.,,,proverbs,Le diable est causé par la mère Vengeance.,,,,,,5,34
,"Igiterwa c'iteke kirarimwa mu bice vyinshi vyo muri Afirika, ndetse na hano mu Burundi",,,general,"La canne à sucre est cultivée dans de nombreuses régions d'Afrique, y compris ici au Burundi.",,,,,,14,86
,Igiti cagukoze mu jisho cama gihiritse.,,,proverbs,Le bâton qui vous frappait à l’œil clignait toujours des yeux.,,,,,,6,39
,Igito gitabwa iwaabo.,,,proverbs,On leur donne peu.,,,,,,3,21
,"Igituma afise ururimi rumwe, ni ukugira ngo avuge make.None uwufise ururimi rumwe ntashobora kuvuga menshi ?",,,general,"La raison pour laquelle il parle une seule langue est qu’il peut parler moins. Alors, qui a une langue et ne peut pas en parler davantage ?",,,,,,16,108
,Igituntu c'incuti ukirira ku cubaha.,,,proverbs,La tuberculose d'un ami réclame le respect.,,,,,,5,36
,"Ihinguriro MINOLACS DE MURAMVYA, riherereye muntara na komine MURAMVYA nyene kumutumba Muramvya agacimbiri ndago",,,general,"Usine MINOLACS DE MURAMVYA, située dans la province et commune de MURAMVYA en hiver de Muramvya",,,,,,14,112
,"Ihorere ntaco uba, ngira nze kukuzanira umuti. Ivyo vyose Nzeyimana yabivuga apfunagirika kandi ashishitira ino ryiwe.",,,general,"Sans rien saluer, je vais vous apporter une solution. Je devrais dire tout cela et hésiter et hésiter avec elle.",,,,,,16,118
,Iiyengeyenge ihenda inzeze.,,,proverbs,Je suis content du prix.,,,,,,3,27
,Ija kurisha ihera ku nama.,,,proverbs,Il va nourrir le saint homme lors de la réunion.,,,,,,5,26
,Ijambo rigukunze rikuguma mu nda.,,,proverbs,Votre mot de passage reste dans le ventre de votre mère.,,,,,,5,33
,Ijambo rirenze umunwa riba rirenze impinga.,,,proverbs,Le mot de passe dépasse l'abondance.,,,,,,6,43
,Ijambo ry'umukuru urishima umukurura.,,,proverbs,La parole de l'aîné le loue.,,,,,,4,37
,Ijambo ryendwa n'irindi.,,,proverbs,Un mot est suivi d'un autre.,,,,,,3,24
,Ijana ntiryanka mu rindi.,,,proverbs,Lui ne disparaît pas dans un autre.,,,,,,4,25
,Ijana riragurwa rirutwa n'imwe itashe.,,,proverbs,Cent pour cent est supérieur à l’autre.,,,,,,5,38
,Ijisho ry'umugabo rigabura inyama rihitamwo.,,,proverbs,L'œil d'un homme traverse la chair qu'il choisit.,,,,,,5,44
,Ijisho ry'uwundi ntirikurabira umwami.,,,proverbs,L’œil de l’autre n’est pas ouvert au roi.,,,,,,4,38
,"Ikaba iri mugihugu hagati, ndetse muramvya yarabaye umugwa mukuru wa CAMI kungoma y'Abami",,,general,"Elle est située au milieu du pays, même dans le passé elle est devenue la capitale du CAMI sous le règne des Rois.",,,,,,13,89
,Ikaze risumba umutumiro.,,,proverbs,Les pensées valent plus que l’invitation.,,,,,,3,24
,"Ikibabaje, iryo nagurwa ryamaze umwanya urume rumara.",,,general,"Malheureusement, cette expansion était attendue depuis longtemps.",,,,,,7,53
,"Ikibateye ndabahungana. Iyo mugiye gusuma canke kuramutsa incuti, ndabajana. Je maguru ndi mukuru wanyu.",,,general,"Je les fuirai. Lorsque vous allez faire du shopping ou saluez des amis, je les suivrai. Juif comme le vôtre.",,,,,,14,104
,Ikigande kiganduzwa ubuhiri.,,,proverbs,Le continent est désormais sous contrôle.,,,,,,3,28
,"Ikimbabaza, ni uko ururimi bakunda guhohotera ari  Ikirundi",,,general,quelle est ma langue c'est cette langue qu'ils ont tendance à détruire c'est un Kirundi,,,,,,8,59
,"Ikimenyetso ca Republika y’Uburundi ni inkinzo ishushanijweko umutwe w’intare n’amacumu atatu, vyose bikaba bikikijwe n’icivugo c’igihugu.",,,general,"L'emblème de la République du Burundi est un bouclier à tête de lion et trois lances, le tout entouré de l'hymne national.",,,,,,16,138
,"Ikimuga c’ikigongwe, Nkurunziza n’abagenzi biwe bariko barakinira ku nkombe yuruzi.",,,general,"L'infirme, Nkurunziza et ses amis jouent au bord de la rivière.",,,,,,10,83
,"Ikindi cogira akamaro cane, ni uko ubushikiranganji bwo kumenyesha amakuru bwoja buratunganya inyigisho zo kunagura ubumenyi mu rurimi rw’Ikirundi.",,,general,Une autre chose très importante est que le ministère de l'Information organise l'éducation pour améliorer la connaissance de la langue kurde.,,,,,,19,147
,"Ikindi congeyeko, n’ubuhinga Abarundi bo mu bisata bitandukanye bakoresha mu vyo bakora, babwigira mu makungu, muri izo ndimi mpuzamakungu",,,general,"De plus, les compétences que les Burundais de différents pays utilisent dans ce qu'ils font, ils les apprennent d'autres pays, dans ces langues internationales.",,,,,,19,138
,"Ikindi naco, ni uko rwigishwa mu mashure, yaba mato, ayisumbuye, eka mbere na za kaminuza",,,general,"De plus, il est enseigné dans les écoles, le secondaire et le collège.",,,,,,15,89
,Ikintu cose kigabanya amateka ntarengwako gitegerezwa kuba gishimikiye kw’Ibwirizwa.,,,general,Tout ce qui limite l’histoire doit être fondé sur la Constitution.,,,,,,9,84
,Ikinyoma gikubitirwa ahakubuye.,,,proverbs,Un mensonge est rejeté.,,,,,,3,31
,Ikinyoma gikubitirwa ahashase.,,,proverbs,Un mensonge est battu à mort.,,,,,,3,30
,"Ikiremve kiva ku nka ikomeye, ubuseri nabwo ni amaraso yava ku nka yamaze kwicwa",,,general,Le lait vient d'une vache forte et le lait vient du sang d'une vache déjà tuée,,,,,,14,80
,"Ikiremve rero, bagifungura conyene canke bakakironderera inkozo, ariko mu vyo barondera amata ntiyajamwo",,,general,"Gen, alors seulement ils mangent ou recherchent les points forts, mais dans quel lait le lait fait-il",,,,,,13,104
,Ikiremwa ntikiruta uwakiremye.,,,proverbs,La créature n'est pas plus grande que le créateur.,,,,,,3,30
,"Ikirere caho kiri hagati y’ubushuhe n’ugukanya,  akenshi kuwumaze kuhagera, kumurango harashuha mwijoro hagakanya, bituma uburimyi n’ubworozi bishoboka neza",,,general,"Le climat se situe entre humide et humide, souvent une fois arrivé, il se réchauffe pendant la nuit, rendant possible l'agriculture et l'élevage.",,,,,,18,156
,Ikiringo ciwe kirangira umunsi uwatowe ngo amusubirire ashikirijwe amabanga ajejwe.,,,general,Son mandat prend fin le jour où la personne élue pour le remplacer est chargée de ses fonctions.,,,,,,10,83
,"Ikiringo co kurangura amabanga yiwe kirangiye, Umukuru w’igihugu, arategekanirizwa agahembo ko gukukuruka.",,,general,"A la fin de son mandat, le chef de l'Etat a droit à une indemnité de retraite.",,,,,,12,106
,Ikirobe kinini ntigikura ikiyobe ku mutima.,,,proverbs,Une grosse cellule ne se développe pas dans le cœur.,,,,,,6,43
,"Ikirundi cari ururimi rw’inyigisho zose, naco igifaransa rukaba rumwe mu ndimi  zigishwa",,,general,"Une autre était la langue de toute éducation, et le français était l'une des langues enseignées",,,,,,12,88
,"Ikirundi gishaka gusa n’ikinyarwanda (mumvugo no munyandiko), ururimi rw’Abanyarwanda, kigashaka gusa kandi n’igiha be n'igihangaza, indimi zivugwa muri Tanzaniya cane cane kumbibe ivyo bihugu bihana",,,general,"L'ikirundi est similaire au kinyarwanda (verbalement et par écrit), la langue des Rwandais, et à l'anglais, la langue parlée en Tanzanie.",,,,,,25,199
,"Ikirundi kivurwa mw’ako gace ka Kumoso, utahabaye canke uhavukire, si bose bagitahura",,,general,Le Kirundi est mentionné dans l'argent de gauche.,,,,,,12,85
,"Ikirundi mu nyigisho caciye gihabwa ikibanza kinini cane, ndetse kigirwa n’ururimi rw’inyigisho zose",,,general,"L'autre partie de l'étude occupe une très grande place, voire la langue de toutes les études.",,,,,,13,100
,"Ikirundi ni rwo rurimi rufise ikibanza gito muri zose, gutyo ikaba imwe mu mvo zihambaye zituma rusubira inyuma cane.",,,general,"Le kirundi est la langue d'un petit endroit, ce qui en constitue l'une des raisons importantes.",,,,,,19,117
,Ikirundi ni ururimi ruvugwa n'abantu barenga imiriyoni icumi,,,general,L'ourdou est une langue parlée par plus de dix millions de personnes,,,,,,8,60
,"Ikirundi nirwo rurimi kama ruvugwa mu Burundi, rukavugwa mumpande zose z'igihugu c'Uburundi (mumitumba hamwe no mubisagara)",,,general,Le Burundi est la langue maternelle parlée au Burundi et elle est parlée dans toutes les régions du pays (en hiver et dans les villes).,,,,,,16,123
,Ikirundu kiri mundimi zitandatu zivugwa mu mihingo yose y’ibihugu zivugwamwo,,,general,La collection est en six langues parlées dans toutes les cultures des pays où elle est parlée,,,,,,10,76
,"Ikiryoshe kandi gihambaye, ni uko urwo rwego rwoba rwikwije kandi rwigenga (mu buryo no mu bikorwa).",,,general,"Ce qui est intéressant et important, c'est que ce niveau est indépendant et indépendant (en termes et en actions).",,,,,,16,100
,Ikitazi gitwengera umurozi.,,,proverbs,Le sol sourit au magicien.,,,,,,3,27
,Ikitse ntawutayikora mu nda.,,,proverbs,Vous ne le faites pas dans votre estomac.,,,,,,4,28
,Ikivugiwe ku maradiyo kiranyaruka cane gushikira abantu kandi ntigiteba kubahindura,,,general,Ce qui se dit à la radio atteint très vite les gens et ne les change pas,,,,,,10,83
,Ikiyaga Tanganyika kiri mu burengero bw’Uburundi kiri hafi y’umurwa mukuru w'ubutunzi ariwo Bujumbura kikaba ari ica kabiri kw’isi gifise munsi harehare kure cane,,,general,"Le lac Tanganyika est situé à l’ouest du Burundi, près de la capitale Bujumbura et est le deuxième plus long lac du monde.",,,,,,23,162
,"Ikomine yacu irateye imbere. Ntibitangaje, umukuru wayo ni inkerebutsi kandi afashwa n’abajenama bakunda igihugu.",,,general,"Notre communauté est prospère. Sans surprise, son chef est un sage et est épaulé par des gendarmes patriotes.",,,,,,14,113
,"Ikomine yacu iratunze ikawa, ibitoke, icayi, ibiharage n’ibiti vya ubwoko bwinshi. Ibitungwa na vyo bihibereye, ni indiri.Amabarabara yo ntiworaba.",,,general,"Notre commune possède du café, des grains, du thé, des thés et de nombreuses espèces. Le bétail est confiné, il y en a pourtant.",,,,,,19,147
,Ikuburiye ntikurya.,,,proverbs,"Attention, ne mangez pas.",,,,,,2,19
,Imana igira ico imaniyeko.,,,proverbs,Dieu fait quelque chose pour moi.,,,,,,4,26
,"Imana iraguha ntimugura,iyo muguze iraguhenda.",,,proverbs,"Dieu vous donne, n'achetez pas, quand vous achetez, il vous trompe.",,,,,,5,46
,Imana irahisha umuntu mu mbibe agakira.,,,proverbs,Dieu cache la personne de l'homme et soit libéré.,,,,,,6,39
,Imana iruta imanga.,,,proverbs,Dieu est plus grand.,,,,,,3,19
,Imana isumba ingabo.,,,proverbs,Dieu est plus grand qu'une armée.,,,,,,3,20
,"Imaze kubomba cane, ugaca uyimesura n’isabuni nyene, gushika umwanda wose uveko.",,,general,"Une fois qu'il est ainsi attaché, vous vous intéressez au même savon, jusqu'à ce que toute la saleté s'en aille.",,,,,,11,80
,"Imbeba ishinga amenyo kuri ka kanyama, umutego urayifata.Ija mu vyo kujwiragira, izungagiza akarizo.",,,general,Une souris plante ses dents sur un morceau de chair et un piège l'attrape.,,,,,,13,100
,"Imbeba iti: «Ni co nanje cantwengeje.» Ntibitevye, imbeba ihengereye abantu bakoranye, bari mu rubanza, iminiye akarizo ku mugongo, ibiteramwo.",,,general,"Il disait : « C'est moi qui suis moi-même venu à moi.>> Je n'étais plus, en jugement, au tribunal, les flancs sur le dos, leur contamination.",,,,,,19,143
,Imbibe n’igitigiri cavyo birashobora guhindurwa n’Ibwirizwa.,,,general,Les membres et leur nombre peuvent être modifiés par décret.,,,,,,6,60
,Imbitsi ya cane ibikira mukeba.,,,proverbs,Le plus important est d'être prudent.,,,,,,5,31
,Imboga mbi ntiziva mu nkono.,,,proverbs,Les mauvais légumes ne sortent pas de la marmite.,,,,,,5,28
,Imburabana yugumbira irekwe.,,,proverbs,L'enfant est laissé seul.,,,,,,3,28
,Imbwa ibura se ntibura shebuja.,,,proverbs,Un chien qui perd son père ne perd pas son maître.,,,,,,5,31
,Imbwa ntigutwengera iba ishaka kukurya.,,,proverbs,Un chien ne se moque pas de vous s'il veut vous manger.,,,,,,5,39
,Imbwa y'umwansi ntikurira amavyi y'umwana.,,,proverbs,Le chien d'un ennemi ne pleure pas sur les larmes d'un enfant.,,,,,,5,42
,Imbwa yarahevye umwino irakura.,,,proverbs,Le chien a renoncé à grandir.,,,,,,4,31
,"Imbwa yari yizingiye mu bantu nk’uko bisanzwe. Iva hasi irikunkumura. Bafashe igiti bayiciriyeko, irabweja. Imbeba yari",,,general,"Le chien était entouré de monde comme d'habitude. Il décolle du sol et vous soulève. Ils prirent un arbre, le coupèrent et il leur tomba dessus. C'était une souris",,,,,,16,119
,Imbwa yarihuse ivyara ibihumye.,,,proverbs,La chienne a rapidement donné naissance à un aveugle.,,,,,,4,31
,Imfashanyo y’amafaranga iyo ariyo yose yoshobora kubangamira ukwikukira kw’igihugu n’ukukibuza kwitunganiriza ivyaco irabujijwe.,,,general,Toute forme d'aide financière susceptible de gêner le développement du pays et d'entraver son développement est interdite.,,,,,,13,128
,Imfyisi igutwara intama ikagutanga kuraka.,,,proverbs,Le renard vous chasse et vous met en colère.,,,,,,5,42
,Imfyisi y'iwanyu ikurya ikurundarunda.,,,proverbs,Votre renard domestique vous mange.,,,,,,4,38
,"Imfyisi yariko iratembera, irondera icorirenza. Ihurira ku ruzi n’impfizi y’intama, igiye kwica akanyota.",,,general,"Le renard marchait, cherchant davantage. Il rencontre au bord de la rivière un bélier qui va étancher sa soif.",,,,,,13,105
,"Imico n’imigenzo vy’Ikirundi, hari ikibazo kitigera gihara na rimwe: urwego nshingwakirundi",,,general,"Dans la culture et les traditions ourdoues, il existe un problème qui ne se pose jamais : le niveau exécutif en ourdou",,,,,,11,91
,Imigambwe irashobora kugira urunani rw’imigambwe mu gihe c’amatora mu buryo butegekanijwe n’Ibwirizwa rigenga amatora.,,,general,Les campagnes peuvent avoir un certain nombre de campagnes pendant les élections de la manière prescrite par la loi électorale.,,,,,,14,118
,Imikanure y'urukwavu ntiyabujije igisaka gusha.,,,proverbs,Les griffes du lapin n'ont pas empêché le cerf de tomber.,,,,,,5,47
,"Imikaratusi, amagereveriyo n’imisave duhora tubicana iyo akazuba kamaze kubicako.",,,general,"Nous brûlons toujours des pommes de terre, des cerises et des prunes lorsque le soleil les éclaire.",,,,,,9,81
,"Iminsi twahamaze, nta na rimwe twasivye ibiyoba. Eka twatashe turyimaze, mbere n’ukubishaka tutakibishaka.",,,general,"Les jours où nous étions forts, nous n’avons jamais laissé les erreurs. Nous nous sommes peut-être tiré une balle, que nous le voulions ou non.",,,,,,13,106
,"Iminsi yose mu gitondo, ni twe twikuburira isomero nkuko yabiduhanuye.",,,general,"chaque jour, nous avertirons la lettre telle qu'il nous l'a remise.",,,,,,10,70
,Iminwe yaguhaye niyo ikwongera.,,,proverbs,Il vous a donné un coup de pouce.,,,,,,4,31
,Imiraguzi y'ibishushe ntiyamenye ivyari biryoshe.,,,proverbs,Les hot-dogs ne savaient pas ce qui était délicieux.,,,,,,5,49
,"Imiryango, abanyagihugu mbere n’igihugu cose bitegerezwa gukingira bimwe biboneka abana kubera ko bakiri bato.",,,general,"Les familles, les citoyens et même le pays tout entier doivent assurer la même protection dont bénéficient les enfants parce qu’ils sont jeunes.",,,,,,14,110
,Imisi irasa ntingana.,,,proverbs,Les jours se ressemblent.,,,,,,3,21
,Imitambire y'impongo niyo migirire.,,,proverbs,Les sacrifices de chèvres sont les plus courants.,,,,,,4,35
,"Imodokari,amapikipiki, amakinga, ni ho bica. Urwaye ashobora gushika kwa muganga ningoga.",,,general,"Les voitures, les motos, les pneus, c'est là qu'ils tuent. Une personne malade peut se rendre chez le médecin et l'infirmière.",,,,,,11,89
,Impengeri ziruma ntizibora.,,,proverbs,Les crocs ne pourrissent pas.,,,,,,3,27
,Impfizi y'indwanyi iterekerwa mwene se.,,,proverbs,Un taureau de combat est montré à son frère.,,,,,,5,39
,Impfizi y'intama itendera nka se.,,,proverbs,Le bélier est aussi obéissant que son père.,,,,,,5,33
,Impfuvyi yambere yabujije iyo hanyuma kurerwa.,,,proverbs,Le premier orphelin a empêché cela et a été adopté.,,,,,,6,46
,Impinga imarwa n'ukuyaga.,,,proverbs,Le sommet est soufflé par le vent.,,,,,,3,25
,Impongo iri ubwoba yikura mu gisaka.,,,proverbs,Le cerf a peur et s'enfuit du troupeau.,,,,,,6,36
,Impuzu yafatwa na gatoyi igatabuka bwa gihunda.,,,general,Le mouton serait attrapé ne serait-ce qu'un tout petit peu et il ne s'éloignerait pas.,,,,,,7,47
,"Imvo nyamukuru zatuma barasa inka, hari nk’iyo inyana yanse kwima yaguma ivyibuha, bikaba ngombwa ko bagabanya amaraso yayo",,,general,"La principale raison pour laquelle ils tirent sur les vaches est le cas où le veau refuse de manger et reste gras, et il est nécessaire de réduire son sang.",,,,,,18,123
,Imvugo ntigora nk'ingiro.,,,proverbs,L’expression n’est pas une conclusion.,,,,,,3,25
,"Imvugo “kurya ikiremve ucirasheko” irakoreshwa mu rurimi rwacu, haba mu bato canke mu bakuze, kandi ntitanguye vuba",,,general,"L'expression « manger lentement » est utilisée dans notre langage, aussi bien chez les enfants que chez les adultes, et cela n'a pas commencé récemment.",,,,,,17,115
,Imvukira z’iyo ntara zariyungunganije zirashiraho Kaminuza y’I Mwaro mu mwaka wa 2001,,,general,Les indigènes de cette province se sont réconciliés et ont créé l'Université d'I Mwaro en 2001.,,,,,,12,85
